Names,PartyNm,Electorate,Provinces
Robert Joppy Kardinal,Partai Golongan Karya,Papua Barat,Papua Barat
Fadhlullah,Partai Gerakan Indonesia Raya,Aceh I,Aceh
Khaidir,Partai Gerakan Indonesia Raya,Aceh II,Aceh
Muhammad Syafi'i,Partai Gerakan Indonesia Raya,Sumatera Utara I,Sumatera Utara
Gus Irawan Pasaribu,Partai Gerakan Indonesia Raya,Sumatera Utara II,Sumatera Utara
Suasana Dachi,Partai Gerakan Indonesia Raya,Sumatera Utara II,Sumatera Utara
Martin Hutabarat,Partai Gerakan Indonesia Raya,Sumatera Utara III,Sumatera Utara
Suir Syam,Partai Gerakan Indonesia Raya,Sumatera Barat I,Sumatera Barat
Ade Rezki Pratama,Partai Gerakan Indonesia Raya,Sumatera Barat II,Sumatera Barat
Rita Zahara,Partai Gerakan Indonesia Raya,Riau I,Riau
Nurzahedi,Partai Gerakan Indonesia Raya,Riau II,Riau
H.A.R Sutan Adil Hendra,Partai Gerakan Indonesia Raya,Jambi,Jambi
Edhy Prabowo,Partai Gerakan Indonesia Raya,Sumatera Selatan I,Sumatera Selatan
Sri Meliyana,Partai Gerakan Indonesia Raya,Sumatera Selatan II,Sumatera Selatan
Susi Marleny Bachsin,Partai Gerakan Indonesia Raya,Bengkulu,Bengkulu
Ahmad Muzani,Partai Gerakan Indonesia Raya,Lampung I,Lampung
Dwita Ria Gunadi,Partai Gerakan Indonesia Raya,Lampung II,Lampung
Asril Hamzah Tanjung,Partai Gerakan Indonesia Raya,Jakarta I,Dki Jakarta
Biem Triani Benjamin,Partai Gerakan Indonesia Raya,Jakarta II,Dki Jakarta
Aryo P.S Djojohadikusumo,Partai Gerakan Indonesia Raya,Jakarta III,Dki Jakarta
Sodik Mudjahid,Partai Gerakan Indonesia Raya,Jawa Barat I,Jawa Barat
Rachel Maryam Sayidina,Partai Gerakan Indonesia Raya,Jawa Barat II,Jawa Barat
Ahmad Riza Patria,Partai Gerakan Indonesia Raya,Jawa Barat III,Jawa Barat
Heri Gunawan,Partai Gerakan Indonesia Raya,Jawa Barat IV,Jawa Barat
Fadli Zon,Partai Gerakan Indonesia Raya,Jawa Barat V,Jawa Barat
Nuroji,Partai Gerakan Indonesia Raya,Jawa Barat VI,Jawa Barat
Putih Sari,Partai Gerakan Indonesia Raya,Jawa Barat VII,Jawa Barat
Kardaya Warnika,Partai Gerakan Indonesia Raya,Jawa Barat VIII,Jawa Barat
Oo Sutisna,Partai Gerakan Indonesia Raya,Jawa Barat IX,Jawa Barat
Subarna,Partai Gerakan Indonesia Raya,Jawa Barat XI,Jawa Barat
