Name,PartyNm,Electorate,Provinces,Votes
Markus Nari,Partai Golongan Karya,Sulawesi Selatan III,Sulawesi Selatan,"76,608"
Andi Fauziah Pujiwatie Hatta,Partai Golongan Karya,Sulawesi Selatan III,Sulawesi Selatan,"96,330"
Ridwan Bae,Partai Golongan Karya,Sulawesi Tenggara,Sulawesi Tenggara,"91,747"
Fadel Muhammad,Partai Golongan Karya,Gorontalo,Gorontalo,"163,054"
Roem Pono,Partai Golongan Karya,Gorontalo,Gorontalo,"117,831"
Enny Anggraeny Anwar,Partai Golongan Karya,Sulawesi Barat,Sulawesi Barat,"58,518"
Edison Betaubun,Partai Golongan Karya,Maluku,Maluku,"58,765"
Saiful Bahri Ruray,Partai Golongan Karya,Maluku Utara,Maluku Utara,"37,486"
Elion Numberi,Partai Golongan Karya,Papua,Papua,"85,374"
Robert Joppy Kardinal,Partai Golongan Karya,Papua Barat,Papua Barat,"65,690"
Fadhlullah,Partai Gerakan Indonesia Raya,Aceh I,Aceh,"63,872"
Khaidir,Partai Gerakan Indonesia Raya,Aceh II,Aceh,"42,124"
Muhammad Syafi'i,Partai Gerakan Indonesia Raya,Sumatera Utara I,Sumatera Utara,"46,438"
Gus Irawan Pasaribu,Partai Gerakan Indonesia Raya,Sumatera Utara II,Sumatera Utara,"188,205"
Suasana Dachi,Partai Gerakan Indonesia Raya,Sumatera Utara II,Sumatera Utara,"82,496"
Martin Hutabarat,Partai Gerakan Indonesia Raya,Sumatera Utara III,Sumatera Utara,"29,925"
Suir Syam,Partai Gerakan Indonesia Raya,Sumatera Barat I,Sumatera Barat,"34,858"
Ade Rezki Pratama,Partai Gerakan Indonesia Raya,Sumatera Barat II,Sumatera Barat,"71,847"
Rita Zahara,Partai Gerakan Indonesia Raya,Riau I,RIAU,"37,561"
Nurzahedi,Partai Gerakan Indonesia Raya,Riau II,RIAU,"45,622"
H.A.R Sutan Adil Hendra,Partai Gerakan Indonesia Raya,Jambi,Jambi,"59,261"
Edhy Prabowo,Partai Gerakan Indonesia Raya,Sumatera Selatan I,Sumatera Selatan,"75,186"
Sri Meliyana,Partai Gerakan Indonesia Raya,Sumatera Selatan II,Sumatera Selatan,"46,244"
Susi Marleny Bachsin,Partai Gerakan Indonesia Raya,Bengkulu,Bengkulu,"33,304"
Ahmad Muzani,Partai Gerakan Indonesia Raya,Lampung I,Lampung,"48,379"
Dwita Ria Gunadi,Partai Gerakan Indonesia Raya,Lampung II,Lampung,"71,391"
Asril Hamzah Tanjung,Partai Gerakan Indonesia Raya,Jakarta I,DKI Jakarta,"24,957"
Biem Triani Benjamin,Partai Gerakan Indonesia Raya,Jakarta II,DKI Jakarta,"50,624"
Aryo P.S Djojohadikusumo,Partai Gerakan Indonesia Raya,Jakarta III,DKI Jakarta,"53,268"
Sodik Mudjahid,Partai Gerakan Indonesia Raya,Jawa Barat I,Jawa Barat,"41,801"
Rachel Maryam Sayidina,Partai Gerakan Indonesia Raya,Jawa Barat II,Jawa Barat,"58,758"
